ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
e174ee45f53a1291671aa9ac5bac3cae,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Allocanariomyces,Allocanariomyces_tritici
79c186d5f24cf534282801e03e05882f,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_chlamydospora
2ec71607541d9ed8e1402835085e5b63,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_chlamydospora
6953c182d973b9fdcc06ff168eed9e83,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_chlamydospora
3b4c384c991a28e6d77e151b58e40591,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_hungarica
3b92f4e196292105152fbb71656b4e1f,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_hungarica
9967722b86ad2395f48ff4f8983e8040,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_hungarica
f16e6811c64b10dfcdbbf8c9ebde53e3,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_hungarica
b97c23097d18f733904320fc5deb8e97,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_infectoria
bd05b3879eb6a56f827c2d9a03847da9,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_lolii
ad5a085ec1c8ec57af1094a5b6dc577e,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_nepalensis
cf0081c91c7e6ce7101dc9d30bc1e02e,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_nepalensis
5faa5c5246a87b0b75a81ee069e6cc2b,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_pobletensis
0d28e1bb97e7e89fd3c7d1f88af77000,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_sp
d4c27a96404796545fb072b7120429e2,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_sp
4e60b3cd79848955efef81cf6a183030,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_sp
b448e25617209bec5bf7b66ba59b42d8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_sp
16aeafb972410b836621af301af7392a,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_sp
