FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
115623daf915d5b864fdb7647023bc88,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
74f0167bf9e3c0a6500cefa1bc4da69c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
c8427312a34c42bf7e8fd55250f8877d,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
bf0a128dbed62dab6104b955bbed9097,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
e176441fb5064973ee3a5222838d750b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
51dfb48e568cf5b2ecad5c8f52a62987,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
359695c1e88bfefda4b135a16bbbefbc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
c764da1e61f465f755f13ec573720380,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
228b79fb747266afbddc1801db868224,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
a607d0e586d5d6090051c78b32148cba,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
7797caf3207f8e0bb6d21d8fdbb978cd,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
25f0b0cef4f567b698d9ab08dfb57c46,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,unclassified,unclassified
5f5d70f4a6040befaa554d29478bbfd2,Bacteria,Chloroflexi,Anaerolineae,A31,S47,unclassified,unclassified
62cbfa6da315e8d822f3d10f4c1f46f0,Bacteria,Chloroflexi,Anaerolineae,A31,S47,unclassified,unclassified
0d6d31377eabef1b098b453cb65b8abe,Bacteria,Chloroflexi,Anaerolineae,A31,S47,unclassified,unclassified
fc576b32287ff2ff48e2e2221550642b,Bacteria,Chloroflexi,Anaerolineae,A31,S47,unclassified,unclassified
8984c2088b8fe7cb911ca0e163c24d1e,Bacteria,Chloroflexi,Anaerolineae,A31,S47,unclassified,unclassified
60aa35adfe811a7e5ab40b2acaebb576,Bacteria,Chloroflexi,Anaerolineae,A31,S47,unclassified,unclassified
2c641645ca16514c15a3573e9adf97cd,Bacteria,Chloroflexi,Anaerolineae,A31,S47,unclassified,unclassified
5e847e6ef70a67ae6faf067aaccbc250,Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,SAGMA-X,unclassified,unclassified
bd2c88de0dd85bed8122fe0dc5af4437,Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,SAGMA-X,unclassified,unclassified
8b19f78fb0b3b57e51a9d039b029b591,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,unclassified,unclassified
7d383c1dd931484e07a1693b14cc246c,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,unclassified,unclassified
a368669732555575e3545a8aa65a7169,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,unclassified,unclassified
